trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
115	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_4_left	7-44	inverted	4	left	(2, 10)	(-40, 3)	0.0	4.0	4.0	1568	0	0
116	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_13_right	ycyc	upright	13	right	(-7, 5)	(26, -2)	3.0	-10.0	10.0	2621	19	16
117	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_3_right	ycyc	inverted	3	right	(25, -11)	(-33, 5)	0.0	-3.0	3.0	1318	0	0
118	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_11_right	7-44	upright	11	right	(-33, 4)	(-33, 5)	10.0	-1.0	1.0	4848	22	12
119	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_14_right	ycyc	upright	14	right	(-13, 2)	(-39, -9)	10.0	-4.0	4.0	2296	10	0
120	real	2022-10-12 14:05	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_9_left	7-44	upright	9	left	(-22, -6)	(13, -11)	-14.0	-5.0	5.0	2334	0	14
121	real	2022-10-12 14:05	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_14_left	ycyc	upright	14	left	(-37, -4)	(26, 6)	-14.0	0.0	0.0	1767	0	14
122	real	2022-10-12 14:05	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_7_right	7-44	upright	7	right	(-26, 0)	(-2, -1)	0.0	-7.0	7.0	1218	0	0
123	real	2022-10-12 14:05	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_7_left	7-44	inverted	7	left	(19, -10)	(-22, -15)	-14.0	-7.0	7.0	1971	0	14
124	real	2022-10-12 14:05	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_10_right	7-44	inverted	10	right	(11, 4)	(-21, -1)	6.0	-4.0	4.0	2135	6	0
125	real	2022-10-12 14:05	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_14_right	ycyc	inverted	14	right	(-18, -5)	(24, 6)	5.0	-9.0	9.0	4680	11	6
126	real	2022-10-12 14:05	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_8_right	7-44	upright	8	right	(20, -11)	(-35, 0)	9.0	1.0	1.0	2533	9	0
127	real	2022-10-12 14:05	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_5_left	7-44	upright	5	left	(35, -3)	(-19, 0)	-5.0	0.0	0.0	3240	12	17
128	real	2022-10-12 14:05	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_14_left	7-44	inverted	14	left	(-5, -9)	(23, 1)	-14.0	0.0	0.0	1934	0	14

