trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
114	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_11_right	7-44	inverted	11	right	(-25, -6)	(39, 10)	8.0	-3.0	3.0	2069	8	0
115	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_11_left	7-44	upright	11	left	(2, 10)	(-40, 3)	-14.0	-3.0	3.0	1929	1	15
116	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_13_right	ycyc	inverted	13	right	(-7, 5)	(26, -2)	7.0	-6.0	6.0	3527	29	22
117	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_7_right	7-44	upright	7	right	(25, -11)	(-33, 5)	5.0	-2.0	2.0	1581	5	0
118	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_10_right	ycyc	upright	10	right	(-33, 4)	(-33, 5)	0.0	-10.0	10.0	914	0	0
119	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_13_left	7-44	inverted	13	left	(-13, 2)	(-39, -9)	-12.0	1.0	1.0	1528	0	12
120	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_14_right	7-44	upright	14	right	(-22, -6)	(13, -11)	13.0	-1.0	1.0	2365	15	2
121	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_12_right	7-44	inverted	12	right	(-37, -4)	(26, 6)	8.0	-4.0	4.0	1528	8	0
122	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_9_right	7-44	upright	9	right	(-26, 0)	(-2, -1)	9.0	0.0	0.0	1531	9	0
123	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_8_right	7-44	upright	8	right	(19, -10)	(-22, -15)	6.0	-2.0	2.0	1564	6	0
124	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_10_right	ycyc	inverted	10	right	(11, 4)	(-21, -1)	8.0	-2.0	2.0	1310	8	0
125	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_16_left	ycyc	inverted	16	left	(-18, -5)	(24, 6)	-13.0	3.0	3.0	2013	8	21
126	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_7_right	ycyc	upright	7	right	(20, -11)	(-35, 0)	0.0	-7.0	7.0	878	0	0
